number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.43946595748965267,2026-01-15 04:02:46.257889,2026-01-15 04:02:47.419942,0 days 00:00:01.162053,0.8803345035229626,0.13793493374058524,6,13,220,123,6.025215736203858e-05,1.951722464144947e-05,0.9598528437324805,COMPLETE
1,0.4171217766662784,2026-01-15 04:02:47.421897,2026-01-15 04:02:49.077926,0 days 00:00:01.656029,0.8574269294896714,0.19182884923958635,8,14,267,32,8.111941985431919e-05,8.260808399079601e-05,0.7912726728878613,COMPLETE
2,0.4271176443308031,2026-01-15 04:02:49.079192,2026-01-15 04:02:49.835358,0 days 00:00:00.756166,0.7599021346475079,0.11677292338861148,7,16,128,59,0.0006789053271698484,0.0019069966103000427,0.935552788417904,COMPLETE
3,0.6027355093218162,2026-01-15 04:02:49.836659,2026-01-15 04:02:51.600342,0 days 00:00:01.763683,0.9425192044349383,0.05332562317538384,7,13,222,88,2.1147447960615714e-05,0.5551721685244719,0.9896896099223678,COMPLETE
4,0.37207367793678764,2026-01-15 04:02:51.601647,2026-01-15 04:02:52.647587,0 days 00:00:01.045940,0.777633994480005,0.12909794654157747,6,12,188,40,0.0029914693021302154,1.485739280627924e-05,0.9727961206236346,COMPLETE
5,0.5713746869804704,2026-01-15 04:02:52.648869,2026-01-15 04:02:54.161370,0 days 00:00:01.512501,0.9684482051282947,0.10282107796624994,8,13,209,61,0.7045683638454499,0.07510418138777546,0.9818496824692567,COMPLETE
6,0.41016328945327357,2026-01-15 04:02:54.162643,2026-01-15 04:02:55.127852,0 days 00:00:00.965209,0.9486212527455788,0.056525940802020225,7,10,139,120,0.00042330329965275946,0.000877781550471965,0.7814047095321688,COMPLETE
7,0.48546435912206337,2026-01-15 04:02:55.129316,2026-01-15 04:02:55.941892,0 days 00:00:00.812576,0.7596147044602517,0.10609761062226211,6,26,128,58,2.3591373063477125e-05,0.8598737339212272,0.9316734307889972,COMPLETE
8,0.4544713875166702,2026-01-15 04:02:55.943141,2026-01-15 04:02:57.306251,0 days 00:00:01.363110,0.958931027762678,0.13321113561435047,5,26,246,110,2.345434227726051e-05,0.0006199100007802262,0.7347607178575388,COMPLETE
9,0.45534041993041635,2026-01-15 04:02:57.307567,2026-01-15 04:02:58.403743,0 days 00:00:01.096176,0.8416644775485848,0.0546054441797385,8,16,162,63,0.044466289554754464,0.01540945776288155,0.9661638227728979,COMPLETE
10,0.5033502889381635,2026-01-15 04:02:58.405092,2026-01-15 04:03:00.844105,0 days 00:00:02.439013,0.897388655491311,0.07124683100482836,9,21,287,94,0.028264113462394273,0.7335299612627241,0.8799746910437728,COMPLETE
11,0.5533521941640559,2026-01-15 04:03:00.845375,2026-01-15 04:03:02.331363,0 days 00:00:01.485988,0.9995749623131915,0.08115102693027793,8,20,208,82,0.6164258951965959,0.05932435824892404,0.9972802640486317,COMPLETE
12,0.5913085640112287,2026-01-15 04:03:02.332695,2026-01-15 04:03:04.062201,0 days 00:00:01.729506,0.935631465664011,0.0838696755639967,9,17,234,81,0.4017770794572191,0.10859151221379712,0.877665751847671,COMPLETE
13,0.5902944941808683,2026-01-15 04:03:04.063470,2026-01-15 04:03:05.799051,0 days 00:00:01.735581,0.922891426051183,0.0742625346450016,9,20,246,94,0.01988141368521014,0.1373977317151263,0.8784685903627498,COMPLETE
14,0.48042836824767093,2026-01-15 04:03:05.800468,2026-01-15 04:03:07.138187,0 days 00:00:01.337719,0.8273768888265213,0.06320477504278914,9,17,175,80,0.1406885947995076,0.013071708149198903,0.8320520418585748,COMPLETE
15,0.6049923521315107,2026-01-15 04:03:07.139464,2026-01-15 04:03:08.768005,0 days 00:00:01.628541,0.917853223689182,0.0872145786715303,7,23,233,97,0.004208618326784015,0.22554872399407114,0.9011635427814658,COMPLETE
16,0.4770276479047781,2026-01-15 04:03:08.769315,2026-01-15 04:03:10.436568,0 days 00:00:01.667253,0.703953764314277,0.05013031643967775,7,23,296,102,0.0038031477115053895,0.3515139402628961,0.9180894255364134,COMPLETE
17,0.4175868597093322,2026-01-15 04:03:10.437860,2026-01-15 04:03:11.694684,0 days 00:00:01.256824,0.9991469325115615,0.16118069096523652,5,23,266,107,0.0004912688191669169,0.01371194722561855,0.9075872667141243,COMPLETE
18,0.5019096648977316,2026-01-15 04:03:11.695916,2026-01-15 04:03:12.420777,0 days 00:00:00.724861,0.9055145568262837,0.08968523428720569,6,27,101,91,0.0032157707239012564,0.23353672108698595,0.8382265312789202,COMPLETE
19,0.47918780786304793,2026-01-15 04:03:12.422220,2026-01-15 04:03:13.753063,0 days 00:00:01.330843,0.8078819452289363,0.0640840818416642,7,29,231,72,0.0001493882051194656,0.02696398595673224,0.9497314321435647,COMPLETE
20,0.490374290955303,2026-01-15 04:03:13.754350,2026-01-15 04:03:14.967830,0 days 00:00:01.213480,0.8837663262379758,0.06531169731766313,7,23,188,114,0.0015865937829921452,0.3837395615466639,0.703486288488266,COMPLETE
21,0.5116631201848766,2026-01-15 04:03:14.969111,2026-01-15 04:03:16.417584,0 days 00:00:01.448473,0.9283594962957944,0.09476525904447373,8,17,230,90,0.01076275880717825,0.07587163961731724,0.8849479885756013,COMPLETE
22,0.4229978621484042,2026-01-15 04:03:16.418989,2026-01-15 04:03:17.570700,0 days 00:00:01.151711,0.9360269968017402,0.08626882552072443,7,10,253,73,0.12843729634878534,0.003784039042279388,0.8619908077597528,COMPLETE
23,0.5964445172642404,2026-01-15 04:03:17.571932,2026-01-15 04:03:18.851874,0 days 00:00:01.279942,0.9691159562279827,0.07692727319866897,6,18,231,100,0.2613942011163881,0.9580571667125208,0.813225329722639,COMPLETE
24,0.5661926040577767,2026-01-15 04:03:18.853101,2026-01-15 04:03:20.317370,0 days 00:00:01.464269,0.9742152426893425,0.07616394028930706,6,19,272,101,0.010569867870025196,0.8278407053138275,0.8060408945993377,COMPLETE
25,0.4465211857370554,2026-01-15 04:03:20.318624,2026-01-15 04:03:21.362575,0 days 00:00:01.043951,0.9784751237050098,0.0588830911419269,5,15,214,101,1.0364679734232921e-05,0.25330823802913954,0.7663431156650276,COMPLETE
26,0.3016373229033398,2026-01-15 04:03:21.363913,2026-01-15 04:03:22.621349,0 days 00:00:01.257436,0.9101970925647052,0.06944503269131055,6,22,196,86,0.07083569484208391,0.905186468216767,0.8219545389829259,COMPLETE
27,0.4876291564725532,2026-01-15 04:03:22.622791,2026-01-15 04:03:24.048880,0 days 00:00:01.426089,0.8657563711750436,0.051002762299405056,7,19,252,71,0.23459831981447313,0.21114201161343268,0.902683950077091,COMPLETE
28,0.45066269233214074,2026-01-15 04:03:24.050151,2026-01-15 04:03:25.359914,0 days 00:00:01.309763,0.9503372679413103,0.09873784501664744,6,25,228,112,0.00021066190105340754,0.03680614064193479,0.8512323369853284,COMPLETE
29,0.39999038205113446,2026-01-15 04:03:25.361200,2026-01-15 04:03:26.390354,0 days 00:00:01.029154,0.8800723494254158,0.11466652787656366,6,12,220,125,0.0010484154005351053,4.708987528887657e-05,0.8129561417414906,COMPLETE
30,0.41850383125392826,2026-01-15 04:03:26.391895,2026-01-15 04:03:27.366709,0 days 00:00:00.974814,0.9861755990349718,0.14875925171447152,5,29,167,117,0.008909777011910026,0.005765355521526407,0.7509101288445705,COMPLETE
31,0.5348621385171902,2026-01-15 04:03:27.367955,2026-01-15 04:03:28.863826,0 days 00:00:01.495871,0.9358479225216237,0.08690288058603819,7,18,238,98,0.3458131801680773,0.10032392412460432,0.863890442212473,COMPLETE
32,0.512197327401956,2026-01-15 04:03:28.865083,2026-01-15 04:03:30.852353,0 days 00:00:01.987270,0.9183802622836059,0.08005328632847274,8,14,262,85,0.9677996257624316,0.4263328659538448,0.8981994239333819,COMPLETE
33,0.5739988521978893,2026-01-15 04:03:30.853879,2026-01-15 04:03:32.421464,0 days 00:00:01.567585,0.9510379789417454,0.08136165503963498,8,15,222,107,0.06824461396868836,0.1417368978698648,0.9438340990324978,COMPLETE
34,0.3271303487394045,2026-01-15 04:03:32.422749,2026-01-15 04:03:34.048970,0 days 00:00:01.626221,0.8940222871788857,0.09331971517824729,7,18,197,78,0.27539220700582956,0.43902478902983466,0.7968448686787521,COMPLETE
35,0.42126553247868664,2026-01-15 04:03:34.050226,2026-01-15 04:03:35.827945,0 days 00:00:01.777719,0.967695146220267,0.11248069846739975,9,12,280,87,6.282919894861967e-05,0.03766111936543317,0.9261996396585621,COMPLETE
36,0.4978312608065906,2026-01-15 04:03:35.829240,2026-01-15 04:03:37.145315,0 days 00:00:01.316075,0.9373773435828661,0.19448926717940862,6,21,238,49,0.466205948779653,0.1594093341629569,0.9576534327185642,COMPLETE
37,0.41436904281813486,2026-01-15 04:03:37.146649,2026-01-15 04:03:38.328054,0 days 00:00:01.181405,0.8637331312614884,0.06068341196119961,8,14,206,77,0.13290528734453516,0.0002581262020429094,0.9945562189439144,COMPLETE
38,0.6110307640777619,2026-01-15 04:03:38.329429,2026-01-15 04:03:39.815403,0 days 00:00:01.485974,0.9630092018874048,0.06778626379473789,7,11,216,96,0.000130241011280471,0.5761831409642941,0.7800769650931572,COMPLETE
39,0.2256500241574017,2026-01-15 04:03:39.816710,2026-01-15 04:03:41.146400,0 days 00:00:01.329690,0.9597961245155484,0.06822872867684926,7,11,182,95,3.159649397033669e-05,0.6453657769826238,0.7685941473802415,COMPLETE
40,0.42131287681191576,2026-01-15 04:03:41.147731,2026-01-15 04:03:42.311750,0 days 00:00:01.164019,0.9848981172819682,0.055284466858944795,7,13,214,105,0.00010661414271245417,1.0168339991068409e-05,0.7335807100970997,COMPLETE
41,0.4839084392346324,2026-01-15 04:03:42.313099,2026-01-15 04:03:43.634470,0 days 00:00:01.321371,0.9429758209413034,0.07732297533343299,6,10,238,90,3.4819444202478795e-05,0.4448299545187014,0.7798268457872516,COMPLETE
42,0.5562483835386046,2026-01-15 04:03:43.635894,2026-01-15 04:03:45.237763,0 days 00:00:01.601869,0.9692653568118023,0.07297105553356634,8,16,221,97,1.1845123871253327e-05,0.2528735601055838,0.8379068213038867,COMPLETE
43,0.531192600006647,2026-01-15 04:03:45.239065,2026-01-15 04:03:46.654955,0 days 00:00:01.415890,0.9158809084737329,0.10251147056099129,7,12,203,66,0.0002468219750508903,0.9611267112578129,0.7985243928248861,COMPLETE
44,0.561356012187747,2026-01-15 04:03:46.656244,2026-01-15 04:03:48.149241,0 days 00:00:01.492997,0.9622416347383065,0.08484381424086393,7,11,254,32,5.749195786830027e-05,0.08457610891667056,0.863473570713931,COMPLETE
45,0.5587452316856812,2026-01-15 04:03:48.150617,2026-01-15 04:03:50.009339,0 days 00:00:01.858722,0.9889141866418432,0.0588928524239724,8,14,242,82,2.0472583089400317e-05,0.4538316750290643,0.9825573411122336,COMPLETE
46,0.4852029328273512,2026-01-15 04:03:50.010690,2026-01-15 04:03:51.288005,0 days 00:00:01.277315,0.9518144127692647,0.06911477692941041,6,24,228,121,0.0018678930168068086,0.13985117999688465,0.8216034366840286,COMPLETE
47,0.6203976022424225,2026-01-15 04:03:51.289303,2026-01-15 04:03:52.929478,0 days 00:00:01.640175,0.9259309067558265,0.05253320669431639,9,21,214,92,0.03206092805465381,0.06291129700818095,0.7828100617209096,COMPLETE
48,0.5291848418609862,2026-01-15 04:03:52.930979,2026-01-15 04:03:54.267241,0 days 00:00:01.336262,0.8453395208882777,0.05295583088112136,7,21,213,104,0.005583892455781641,0.0495474490878952,0.7815720326993597,COMPLETE
49,0.3788056409012601,2026-01-15 04:03:54.268616,2026-01-15 04:03:55.303472,0 days 00:00:01.034856,0.8917121823569623,0.0578815501820985,5,26,191,91,0.02349367179847827,0.001387763537473147,0.7453660619025745,COMPLETE
